"_time","Logon_Type",ComputerName,EventCode
"2026-08-14T08:41:03.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:41:03.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:40:49.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:40:49.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:39:39.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:39:39.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:39:34.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:39:34.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:38:32.000+0700",,"DESKTOP-IUKE6AK",5061
"2026-08-14T08:38:32.000+0700",,"DESKTOP-IUKE6AK",5058
"2026-08-14T08:38:32.000+0700",,"DESKTOP-IUKE6AK",5061
"2026-08-14T08:38:32.000+0700",,"DESKTOP-IUKE6AK",5058
"2026-08-14T08:38:32.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:38:32.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:38:32.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:38:32.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:38:32.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:38:32.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:38:16.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:38:16.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:38:14.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:38:14.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:38:14.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:38:14.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:57.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:57.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:57.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:57.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:50.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:50.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:47.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:47.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:45.000+0700",2,"DESKTOP-IUKE6AK",4634
"2026-08-14T08:37:45.000+0700",2,"DESKTOP-IUKE6AK",4634
"2026-08-14T08:37:45.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:45.000+0700",2,"DESKTOP-IUKE6AK",4624
